row,col,latitude,longitude
0,0,6.267458,-75.569145
0,1,6.2674363333333325,-75.56914866666666
0,2,6.267414666666667,-75.56915233333334
0,3,6.267393,-75.569156
0,4,6.267371333333333,-75.56915966666668
0,5,6.267349666666666,-75.56916333333334
0,6,6.267328,-75.569167
0,7,6.267306333333333,-75.56917066666666
0,8,6.267284666666667,-75.56917433333334
0,9,6.267263,-75.569178
1,0,6.267457214285715,-75.56916078571429
1,1,6.267435714285714,-75.56916463492064
1,2,6.267414214285715,-75.56916848412699
1,3,6.267392714285715,-75.56917233333334
1,4,6.267371214285715,-75.56917618253968
1,5,6.267349714285714,-75.56918003174604
1,6,6.2673282142857145,-75.56918388095238
1,7,6.267306714285714,-75.56918773015873
1,8,6.267285214285715,-75.56919157936508
1,9,6.267263714285714,-75.56919542857143
2,0,6.267456428571429,-75.56917657142857
2,1,6.2674350952380955,-75.5691806031746
2,2,6.267413761904763,-75.56918463492063
2,3,6.26739242857143,-75.56918866666666
2,4,6.267371095238095,-75.56919269841269
2,5,6.267349761904763,-75.56919673015874
2,6,6.267328428571429,-75.56920076190477
2,7,6.267307095238095,-75.5692047936508
2,8,6.267285761904763,-75.56920882539683
2,9,6.267264428571429,-75.56921285714286
3,0,6.2674556428571435,-75.56919235714285
3,1,6.267434476190476,-75.56919657142856
3,2,6.2674133095238105,-75.56920078571429
3,3,6.267392142857144,-75.569205
3,4,6.267370976190477,-75.5692092142857
3,5,6.267349809523809,-75.56921342857142
3,6,6.267328642857143,-75.56921764285713
3,7,6.267307476190475,-75.56922185714285
3,8,6.26728630952381,-75.56922607142856
3,9,6.267265142857142,-75.56923028571427
4,0,6.267454857142857,-75.56920814285715
4,1,6.267433857142857,-75.56921253968254
4,2,6.267412857142857,-75.56921693650794
4,3,6.267391857142857,-75.56922133333335
4,4,6.267370857142857,-75.56922573015873
4,5,6.267349857142857,-75.56923012698414
4,6,6.267328857142857,-75.56923452380953
4,7,6.267307857142857,-75.56923892063492
4,8,6.267286857142857,-75.5692433174603
4,9,6.267265857142857,-75.56924771428571
5,0,6.2674540714285705,-75.56922392857143
5,1,6.267433238095237,-75.5692285079365
5,2,6.267412404761904,-75.5692330873016
5,3,6.267391571428572,-75.56923766666668
5,4,6.267370738095238,-75.56924224603175
5,5,6.267349904761904,-75.56924682539682
5,6,6.267329071428572,-75.5692514047619
5,7,6.267308238095238,-75.56925598412698
5,8,6.2672874047619045,-75.56926056349207
5,9,6.267266571428571,-75.56926514285713
6,0,6.267453285714286,-75.56923971428571
6,1,6.267432619047619,-75.56924447619048
6,2,6.267411952380952,-75.56924923809524
6,3,6.267391285714286,-75.569254
6,4,6.267370619047618,-75.56925876190476
6,5,6.267349952380952,-75.56926352380952
6,6,6.267329285714286,-75.56926828571429
6,7,6.267308619047618,-75.56927304761905
6,8,6.267287952380952,-75.56927780952381
6,9,6.2672672857142855,-75.56928257142857
7,0,6.2674525,-75.5692555
7,1,6.267432,-75.56926044444444
7,2,6.2674115,-75.56926538888888
7,3,6.267391,-75.56927033333334
7,4,6.2673705,-75.56927527777778
7,5,6.26735,-75.56928022222222
7,6,6.267329499999999,-75.56928516666666
7,7,6.267309,-75.56929011111112
7,8,6.267288499999999,-75.56929505555556
7,9,6.267268,-75.5693
8,0,6.2674517142857145,-75.56927128571428
8,1,6.267431380952381,-75.5692764126984
8,2,6.267411047619047,-75.56928153968254
8,3,6.267390714285715,-75.56928666666667
8,4,6.26737038095238,-75.56929179365079
8,5,6.267350047619049,-75.56929692063491
8,6,6.267329714285715,-75.56930204761905
8,7,6.267309380952381,-75.56930717460317
8,8,6.267289047619048,-75.5693123015873
8,9,6.267268714285715,-75.56931742857142
9,0,6.267450928571429,-75.56928707142858
9,1,6.2674307619047624,-75.56929238095238
